,id,title,lat,long,description,image_url,url,max_depth,region,dive_site_id_x,name,dive_site_id_y,animal_id,cluster,pca_1,pca_2,tsne_1,tsne_2
0,626,Cala Corsi,40.97893,9.64231,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/italy/cala-corsi/,,Italy,626.0,"['Beach', 'Wall']",,,6,-0.6293211438954848,-0.372153774980623,-51.242016,-8.9584
1,933,Missiones,22.88998,-109.86455,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/mexico/missiones/,,Mexico,933.0,['Reef'],933.0,"[44, 77, 11, 17, 1, 23, 139, 4, 25]",0,0.8381186986153774,0.22635221888111576,30.44436,-18.50763
2,934,Blow Hole,22.93094,-109.81114,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/mexico/blow-hole/,,Mexico,934.0,['Reef'],,,0,-0.5599816992211887,0.3472495175126092,42.069065,-1.392499
3,1237,Corveta V17,-3.84807,-32.47344,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/brazil/corveta-v17/,,Brazil,1237.0,['Wreck'],,,5,-0.6986727204986913,-0.7259919673396287,4.8150864,-48.3269
4,1238,Laje dois Irmãos,-3.83891,-32.44589,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/brazil/laje-dois-irmaos/,,Brazil,1238.0,['Reef'],1238.0,"[20, 12, 11]",0,-0.08010445540511668,0.3742350171602065,32.426994,16.16245
5,1363,Manzanillo,17.62029,-101.52445,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/mexico/manzanillo/,,Mexico,1363.0,['Reef'],,,0,-0.5599816992211887,0.3472495175126093,41.449703,-2.1602335
6,355,Naftan,15.09545,145.74519,"Naftan, giant coral wall",https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/11/d7/11d7d7f92b50d109f95bd8c1363021da.webp,https://www.padi.com/dive-site/northern-mariana-islands/naftan/,,Northern Mariana Islands,355.0,"['Drift', 'Wall']",,,6,-0.5883461715873158,-0.015206150990240147,-40.614704,12.649736
7,356,Fischbalme,46.68781,7.74459,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/switzerland/fischbalme/,,Switzerland,356.0,"['Lake', 'Wall']",,,4,-0.6917813118758583,-0.42556280527885515,-45.381897,-28.936728
8,411,Sanganeb Reef,19.73956,37.44003,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/63/e1/63e135520a5b8f64ae9150a32ab229f4.webp,https://www.padi.com/dive-site/sudan/sanganeb-reef/,,Sudan,411.0,"['Reef', 'Wall']",,,3,-0.5165870637404915,0.5116899611294535,-20.79958,41.38081
9,471,St Clair River,42.99671,-82.42248,Great drift dive with shipwrecks,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/canada/st-clair-river/,,Canada,471.0,"['Wreck', 'Drift', 'River']",,,5,-0.658018501352263,-0.5267227712122667,-0.8482683,-43.865387
10,492,Dover YMCA,39.57304,-76.73767,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/united-states-of-america-usa/dover-ymca/,,United States,492.0,['Beach'],,,2,-0.6727157793761814,-0.5365942185974757,-10.551262,-26.869757
11,1239,Morro de Fora,-3.83471,-32.41576,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/brazil/morro-de-fora/,,Brazil,1239.0,['Reef'],,,0,-0.5599816992211887,0.34724951751260913,40.469833,-2.7301495
12,1364,Underwater forest,13.84929,-89.53016,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/el-salvador/underwater-forest/,,El Salvador,1364.0,['Lake'],,,4,-0.7351759473565557,-0.5900032488957002,-36.808918,-37.873043
13,1367,Shark Point,9.43433,123.39071,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/philippines/shark-point-2/,,Philippines,1367.0,"['Cave', 'Drift', 'Reef', 'Wall']",1367.0,[161],3,-0.46127995749776934,0.7086445830055149,-5.751744,55.722897
14,493,Indian River Inlet,38.5918,-75.16838,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/united-states-of-america-usa/indian-river-inlet/,,United States,493.0,"['Beach', 'Channel']",,,2,-0.6717564521246665,-0.5134219323811193,-13.204787,-22.9894
15,349,El Toro,9.38772,-84.17918,A pinnacle formation and sand patch area. Dotted with rock and reef formations.,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/b0/f6/b0f60b0758ea3b822adc951c0b3e9474.webp,https://www.padi.com/dive-site/costa-rica/el-toro/,,Costa Rica,349.0,['Reef'],,,0,-0.5445403520817901,0.3913910576564227,54.38732,-5.4973207
16,1368,Sumilon The Wall,9.4334,123.38616,,https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/5d/fd/5dfd20e4c826b825693453c55864372f.webp,https://www.padi.com/dive-site/philippines/sumilon-the-wall/,,Philippines,1368.0,"['Drift', 'Reef', 'Wall']",1368.0,[161],3,-0.46444591339225455,0.7061763805251017,-4.7099805,55.378296
